Sentences,Type,Polarity
"A comida uma delicia (os palitos de tapioca são de babar) e as mesinhas na rua, com luzinhas e um som MARA.",1,1
Recomendo muito!,1,1
Comida muito boa e várias opções de cervejas artesanais.,1,1
O preço é compativel com restaurantes em shopping.,1,0
"Atendimento, comidas e ambiente impecáveis.",1,1
Já fui várias vezes e sempre com o mesmo padrão.,0,0
Happy Hour maravilhoso.,1,1
A comida sai rápido.,1,1
"Muitos atrativos para as crianças, comida de excelente qualidade, ambiente maravilhoso e de extremo bom gosto!",1,1
"Costumo almoçar neste restaurante, pois o lugar é agradavel, com ar condicionado e tv.",1,1
"A comida é muito boa, com destaque para o mignon a parmegiana.",1,1
"O atendimento é ruim, os garçons não fazem questão de serem simpaticos e nem te agradar, mas a comida compensa.",1,-1
O preço é compativel com a região.,1,0
Não tem Wi fi.,1,-1
O lugar em si é pequeno e possui poucas mesas.,1,-1
"Justamente isso faz com que o ambiente se transforme na ""sala de casa"".",0,0
A decoração com peças vintage faz você olhar para todos os lados procurando mais detalhes.,0,0
Simpatia é a alma no atendimento!!,1,1
Os bolos são confeccionados em cozinha própria e passam por testes de ajustes de receitas.,0,0
"Super indico os de Banana Toffee, Banana com chocolate branco e (meu favorito) RedVelvet.",1,1
"Comida servida com muita rapidez, pão com fabricação própria e delicioso.",1,1
"Bom ambiente, boa comida, atendimento e preços razoáveis.",1,1
Vale conferir !!,1,1
"Dificuldades para vagas, mas tem vele com preço salgado.",1,-1
Jantar do dia dos namorados perfeito!,1,1
Cardápio especial para o dia.,0,0
Atendimento e serviço impecável!,1,1
Os pratos estavam divinos!!!,1,1
"Sugestão de pratos : bolinho de bacalhau,  Filé Agaricus e Creme Brulle.",0,0
"Ótimo comida e atendimento, ambiente muito agradável para casais ou apenas para fazer um happy hour .",1,1
Pedimos um Camarão na moranga (prato para 2 pessoas) mas que dá para comer 3 pessoas tranquilo!,1,1
Os pratos custam em média entre R$70 a R$100 (que serve para 2 pessoas a 3 pessoas).,0,0
Melhor restaurante de carnes nobres de BH  serviço  e atendimento nota mil garçons e gerente muito atenciosos recomendo sim.,1,1
"Quando estava planejando minha viagem para Fortaleza sempre lia que deveria conhecer esta barraca de praia, mas nunca imaginei que o que eles chamam de barraca é na verdade um clube de praia.",0,0
"Eu adorei o local, tem uma decoração lindíssima, piscina, restaurante com vários tipos de comida e mesas com cofre para quem vai passar o dia na praia.",1,1
"Nas noites de quinta-feira tem o show de humor, banda ao vivo e muita gente bonita.",0,0
Recomendo!!,1,1
Pratos bem elaborados com um toque de sofisticação.,1,1
Muito boa a mistura de temperos com banana.,1,1
"Preços um pouco ""salgados"".",1,-1
Vamos direto ao ponto: o lanche principal (Harley D.) é sensacional.,1,1
"O hambúrguer não é grande, mas é gostoso, vem no ponto certo.",1,1
Os ingredientes são de primeira e o lanche chega cuidadosamente montado e preparado.,1,1
"Não tem o ""glamour"" das novas lanchonetes gourmets nem aquela decoração moderninha.",0,0
"É um restaurante tradicional, simples e gostoso.",1,1
Vale também uma menção honrosa a maionese da casa (deliciosa) e as boas pedidas de breja 600 (Amstel e Heineken),1,1
"Numa rua calma do bairro Moinhos de Vento, um amigo me levou à este lugar encantador .",0,0
"seguimos a sugestão do Chef e nos deliciamos com uma salada de mix de folhas verdes, um filé-mignon e de sobremesa creme brullé .",1,1
Adorei conhecer este lugar e na certa voltarei!,1,1
"Atendimento bem receptivo como toda Salvador tem, achei bem tumultuada mas fui em um dia que a praia estava lotada, sentamos tomamos um refri, a passagem foi bem rápida pelo local.",1,0
"Anselmo, esse é o nome!",0,0
Pode procurá-lo que ele será super solicito e te guiará nas melhores opções e rápido atendimento.,1,1
Qualidade impecável como sempre.,1,1
"Tudo muito bom, ambiente, atendimento, qualidade da comida.",1,1
"Para quem está a procura de um momento agradável bem servido e comida de qualidade, vale muito a pena conhecer.",1,1
Super indico,1,1
"O restaurante fechou e, de acordo com a informação na porta, encerraram de vez as operações.",0,0
Fiquei muito triste.,1,-1
Quando você chega no ambiente já percebe a cultura cuiabana por todo o local.,0,0
O cheirinho de carne que exala das mesas que já foram atendidas é um enorme convite a degustação de um prato da casa.,1,1
"O carro chefe do restaurante é o famoso ""Cupim na Telha"", uma porção de lascas de cupim acompanhado de mandioca, arroz, fritas, vinagrete e farofa muito bem servida que faz dar água na boca de qualquer carnívoro!",1,1
Tem um amplo estacionamento e o atendimento é de primeira linha!,1,1
"Lugar aconchegante, ambiente muito lindo!",1,1
"Atendimento ótimo, e banheiros super limpos (o que é raro no Rio de Janeiro).",1,1
"Indico a caipivodka de cupuaçu com a costeleta de tambaqui, preços justos
Uma ótima música ao vivo na sexta feira",1,1
"Restaurante amplo e temático, com serviço self-service e buffet com boa variedade de pratos.",1,1
Tem um ambiente descontraído e agradável.,1,1
Uma opção interessante e com deliciosos pratos.,1,1
De negativo o preço um pouco caro.,1,-1
"Quando fui a Rio Branco não esperava que teria a grande satisfação em conhecer um restaurante árabe de tamanha qualidade, complementado por excelente atendimento e ambiente agradabilíssimo!",1,1
"Na disputa para melhorar hamburqueria da cidade ,  essa casa aparece como um forte concorrente impecável na apresentação e qualidade dos pratos.",1,1
Opções fáceis para montagem dos sanduíches e boa lista de cervejas.,1,1
Mas a grande surpresa é o rodízio de acompanhamentos.,1,0
"Um mais gostoso e surpreendente que o outro
Ambiente aconchegante e elegante
Atendimento bom e bem treinado
Experiência maravilhosa",1,1
"A comida é ótima, normalmente pedimos uma porção grande de cupim no rechaud e comemos em torno de 4 pessoas, os acompanhamentos são pequenos, mas a carne serve todos.",1,1
"A vista para o mar é muito linda, mas normalmente venta bastante e acaba esfriando a comida rapidamente.",1,0
O atendimento já foi melhor..,1,-1
Só faltou a pizza de sorvete!,1,0
Mas foi tudo perfeito!,1,1
Os garçons são espetaculares... ótima experiência... voltaremos 😆,1,1
"É inacreditável, mas ainda tem lanchonetes que utilizam o tal do apresuntado em seus lanches.",1,-1
"Podem até falar bem do local, mas para mim parou por aí, pois é um produto de má qualidade que é empregado em seus lanches, e não há outra justificativa, que não seja a economia.",1,-1
"Além disso, espera-se no mínimo 45 min pelo lanche.",1,-1
Pelo que se paga tem opção muito melhor na região.,1,-1
Desanimador!,1,-1
Já fui inúmeras vezes ao Quitinete ( na esperança de que o serviço melhorasse) mas nao teve jeito!,1,-1
"Os garçons, no geral, tem um humor horroroso... E os preços nao sao os melhores.",1,-1
"Sempre me irrito quando vou lá, sempre!",1,-1
Fomos no Amado comemorar meu aniversário com o meu marido.,0,0
Atendimento excelente e garçons atentos.,1,1
"Pedi um risoto de linguiça acompanhado do vinho da casa, indicado pelo maitre.",0,0
"Tente sentar na varanda, e ir a noite com o céu claro.",1,0
O mar é lindo e calmo.,0,0
Excelente pedida para um jantar a 2.,1,1
"Os preços são salgados, então é um restaurante para ir numa ocasião especial, sem se preocupar muito com a conta no final.",1,0
Comi apenas sanduiches de pao arabe e comum.,0,0
O preço é ótimo e o lanche é de primeira qualidade.,1,1
Recomendo.,1,1
Lugar bem decorado e agradável.,1,1
Excelente atendimento.,1,1
Pizza deliciosa.,1,1
Tudo isso acompanhado de boa música ao vivo.,1,1
Recomendo muito.,1,1
Execelente atendimento e comida deliciosa.,1,1
Camarão internacional e Camarão Olinda.,0,0
Vale a pena visitar o restaurante para qualquer tipo de encontro.,1,0
Seja com a família ou com amigos.,0,0
O Camarões faz jus à sua fama.,1,1
As porções são bem servidas e os camarões são enormes.,1,1
O ambiente é muito bacana e o atendimento totalmente impecável.,1,1
Recomendo EFUSIVAMENTE.,1,1
Gostei muito do lugar!,1,1
"Bonito,  bom astral, cerveja gelada e as bandas...demais!",1,1
Valeu a noite.,1,0
O revés é que a partir das 22h eles deixam de vender o chopp e se comercializam longneck.,1,-1
Nada haver!,0,0
"O restaurante fica no terraço do Hotel Unique, com visão panorâmica de São Paulo.",0,0
"O atendimento é muito bom, a comida excelente.",1,1
"O preço é alto, mas compatível com o que o restaurante oferece.",1,0
Único ponto negativo foi que no dia estava muito quente e o sistema de ar condicionado não atendeu à necessidade.,1,-1
Nota 10!,1,1
Impossível ir a Natal e não visitá-lo várias vezes!,1,1
"Pratos deliciosos, de excelente qualidade e preço justo.",1,1
"Otimo restaurante, o Sr Mesquita nos atendeu e fomos super bem atendidos, com certeza voltarei aqui obrigado",1,1
"O último outback que visitei foi o do shopping Higienópolis, em São Paulo.",0,0
Muito bom!,1,1
Ambiente acolhedor.,1,1
Atendimento quase personalizado.,0,0
Serve entrada com um delicioso pão.,1,1
O chope... Hum...divino!,1,1
Poções grandiosas e sabor maravilhoso.,1,1
A costela de porco com barbecue nota 1000.,1,1
Experimentamos e aprovamos os mini hambúrgueres.,1,1
Bons!,1,1
Destaque para as sobremesas!,1,1
"Comida, sobremesa, ambiente e serviço maravilhosos.",1,1
Pratos bem preparados e diferentes.,1,1
"Com música ao vivo , voz e violão.",0,0
Recomendo com louvor!,1,1
Fomos (2 casais) experimentar esse Ragazzo (Jardim Marajoara) no último domingo dia 29 de Outubro.,0,0
